2024-05-31 11:06:29 INFO     Done reading data
2024-05-31 11:06:29 INFO     before transpose: Xtrain shape: (442822, 25, 25, 30, 1)
2024-05-31 11:06:29 INFO     before transpose: Xtest  shape: (49203, 25, 25, 30, 1)
2024-05-31 11:06:29 INFO     after transpose: Xtrain shape: (442822, 1, 30, 25, 25)
2024-05-31 11:06:29 INFO     after transpose: Xtest  shape: (49203, 1, 30, 25, 25)
2024-05-31 11:06:29 INFO     Dataset already in data loader
2024-05-31 11:06:29 INFO     Start training hybrid net with BN and attention
2024-05-31 11:06:40 INFO     

Let's use 4 GPUs!


2024-05-31 11:08:48 INFO     [Epoch: 1]   [loss avg: 1024.8487]   [current loss: 0.4964]  [current acc: 0.9173]
2024-05-31 11:10:37 INFO     [Epoch: 2]   [loss avg: 883.1295]   [current loss: 0.4688]  [current acc: 0.9279]
2024-05-31 11:12:27 INFO     [Epoch: 3]   [loss avg: 801.9027]   [current loss: 0.3826]  [current acc: 0.9349]
2024-05-31 11:14:17 INFO     [Epoch: 4]   [loss avg: 745.9071]   [current loss: 0.3600]  [current acc: 0.9358]
2024-05-31 11:16:06 INFO     [Epoch: 5]   [loss avg: 703.7420]   [current loss: 0.3214]  [current acc: 0.9429]
2024-05-31 11:17:56 INFO     [Epoch: 6]   [loss avg: 670.3107]   [current loss: 0.3437]  [current acc: 0.9441]
2024-05-31 11:19:46 INFO     [Epoch: 7]   [loss avg: 642.8015]   [current loss: 0.2339]  [current acc: 0.9461]
2024-05-31 11:21:35 INFO     [Epoch: 8]   [loss avg: 619.4149]   [current loss: 0.3276]  [current acc: 0.9459]
2024-05-31 11:23:25 INFO     [Epoch: 9]   [loss avg: 599.0396]   [current loss: 0.3676]  [current acc: 0.9468]
2024-05-31 11:25:15 INFO     [Epoch: 10]   [loss avg: 581.0221]   [current loss: 0.2034]  [current acc: 0.9504]
2024-05-31 11:27:05 INFO     [Epoch: 11]   [loss avg: 564.7486]   [current loss: 0.2215]  [current acc: 0.9508]
2024-05-31 11:28:54 INFO     [Epoch: 12]   [loss avg: 549.8702]   [current loss: 0.2008]  [current acc: 0.9484]
2024-05-31 11:30:44 INFO     [Epoch: 13]   [loss avg: 536.1511]   [current loss: 0.2826]  [current acc: 0.9512]
2024-05-31 11:32:34 INFO     [Epoch: 14]   [loss avg: 523.3266]   [current loss: 0.1856]  [current acc: 0.9481]
2024-05-31 11:34:24 INFO     [Epoch: 15]   [loss avg: 511.2633]   [current loss: 0.1796]  [current acc: 0.9519]
2024-05-31 11:36:13 INFO     [Epoch: 16]   [loss avg: 499.7665]   [current loss: 0.1636]  [current acc: 0.9479]
